,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,component 1,component 2,component 3,K-means PCA,Segment
9036,SF000782270,"FORT BEAUFORT, SF",-32.783,26.633,455.0,2023-01-30,0.3,18.7,27.3,10.4,-1.8358040057993845,-1.6664505699189562,0.6219290247988972,0,Solar
3078,SF002146700,"SPRINGBOK, SF",-29.667,17.9,1007.0,2023-02-15,0.0,20.1,29.4,14.8,-6.103501297525224,-0.33331933486882453,-1.1161996971516424,0,Solar
12150,SF000068438,"KIMBERLEY, SF",-28.8,24.767,1196.0,2023-03-17,0.0,24.4,32.7,17.6,-11.740936422472853,0.6611095449727526,-2.5459235232622666,0,Solar
7974,SF000981900,"CRADOCK, SF",-32.167,25.617,102.0,2023-01-19,2.0,24.2,39.8,19.0,-17.84753150083079,0.43477804711005835,1.6881510740913965,0,Solar
10590,SF003605120,"TAUNG, SF",-27.55,24.767,1100.0,2023-03-26,0.0,22.2,30.0,13.4,-6.777672237341611,-0.7705859143660725,-1.0458799960063117,0,Solar
5905,SFM00068588,"DURBAN INTERNATIONAL, SF",-29.97,30.951,10.1,2023-02-16,0.0,25.3,28.9,23.2,-11.704729176824298,4.699695290696861,-7.464280791659534,0,Solar
7172,SFM00068242,"MAFIKENG, SF",-25.798,25.548,1274.4,2022-12-15,24.9,21.4,25.7,15.2,-3.2076429169596534,21.21675990577086,10.912658470493179,0,Solar
4269,SF001506200,"ELLIOT, SF",-31.333,27.85,1463.0,2022-11-29,0.0,23.1,29.0,10.7,-5.103301648049224,-1.49124357654816,-0.682315917108501,0,Solar
7921,SF000981900,"CRADOCK, SF",-32.167,25.617,102.0,2022-11-06,0.0,21.7,31.1,13.9,-7.673694837514843,-1.0143087974060134,-0.5058108585018392,0,Solar
10541,SF003605120,"TAUNG, SF",-27.55,24.767,1100.0,2023-02-05,0.0,25.6,34.7,18.0,-13.987795214395211,0.39553989287931746,-2.2172473840831115,0,Solar
9034,SF000782270,"FORT BEAUFORT, SF",-32.783,26.633,455.0,2023-01-28,0.0,20.6,37.2,14.6,-12.359417058136433,-2.989855938088491,2.7458077484110577,0,Solar
1134,SF003724960,"VRYHEID, SF",-27.783,30.8,1163.0,2023-01-23,0.0,24.1,32.6,16.5,-11.031219778138894,0.1327153099949243,-1.9597481546867412,0,Solar
716,SFM00068263,"PRETORIA IRENE, SF",-25.917,28.217,1500.0,2023-03-12,0.0,20.9,30.7,15.4,-7.729538677253615,-0.3462354325404021,-1.0688373540764289,0,Solar
6776,SF003044460,"MTUNZINI, SF",-28.95,31.7,38.0,2023-01-31,0.0,24.7,29.7,20.2,-10.702717578111107,2.9349807255277462,-5.410275115540247,0,Solar
109,SF001447910,"NOUPOORT, SF",-31.183,24.95,1496.0,2022-10-27,0.0,18.4,27.4,10.1,-1.6625701661432812,-2.135665732141983,0.7622496180256636,0,Solar
5716,SFM00068588,"DURBAN INTERNATIONAL, SF",-29.97,30.951,10.1,2022-08-09,1.0,18.4,22.8,16.5,-0.9745326860785571,3.1644740626447034,-3.9677046345900457,0,Solar
10841,SF003211100,"POSTMASBURG, SF",-28.333,23.067,1321.0,2023-02-27,0.0,22.5,37.8,14.4,-13.508479969843856,-2.9161722712233162,2.3434001472895027,0,Solar
670,SFM00068263,"PRETORIA IRENE, SF",-25.917,28.217,1500.0,2023-01-16,0.0,22.7,30.9,15.1,-8.476622965421809,-0.20133051928234982,-1.5867469402441754,0,Solar
1111,SF003724960,"VRYHEID, SF",-27.783,30.8,1163.0,2022-12-30,7.9,14.3,28.9,13.5,-2.5406827461012815,4.409740376303222,6.326866222128037,0,Solar
6651,SF001485170,"JAMESTOWN, SF",-31.117,26.8,1603.0,2023-01-24,0.0,16.1,28.2,14.3,-3.307564053495507,-0.9320805999179209,0.19078981803686795,0,Solar
3805,SF000414170,"MALMESBURY, SF",-33.467,18.717,102.0,2023-01-07,0.0,23.2,33.7,12.9,-9.866277726242611,-2.0677914398095183,0.6524189967981934,0,Solar
10854,SF003211100,"POSTMASBURG, SF",-28.333,23.067,1321.0,2023-03-12,0.0,21.7,34.5,7.9,-7.573658522684976,-4.9243474748433025,4.014519409178862,0,Solar
8759,SF001344780,"CALVINIA, SF",-31.467,19.767,975.0,2023-02-03,0.0,27.1,35.6,13.4,-13.173328455519368,-1.727433683517795,-0.2552061576705253,0,Solar
12171,SF000068438,"KIMBERLEY, SF",-28.8,24.767,1196.0,2023-04-07,0.0,20.9,30.9,13.7,-7.099707194073561,-1.193539715215952,-0.17757851512710518,0,Solar
858,SF000798110,"DOHNE, SF",-32.517,27.467,900.0,2022-10-29,2.0,18.8,28.2,10.5,-2.5845439784399025,-0.553065851886248,1.9928228357839202,0,Solar
698,SFM00068263,"PRETORIA IRENE, SF",-25.917,28.217,1500.0,2023-02-22,0.0,20.3,28.5,14.4,-5.289985172008503,-0.17047536496080526,-1.4741009491071115,0,Solar
4900,SFM00068461,"BETHLEHEM, SF",-28.248,28.336,1695.0,2023-03-21,0.0,17.1,27.9,11.3,-2.0862878600616463,-2.0096587982135845,1.0086305819732293,0,Solar
7959,SF000981900,"CRADOCK, SF",-32.167,25.617,102.0,2022-12-14,0.3,22.3,34.2,17.5,-12.018391549377649,-0.06661755653454095,-0.6718143948328605,0,Solar
9480,SF000227590,"WORCESTER, SF",-33.617,19.467,270.0,2022-11-05,0.0,22.4,30.0,16.6,-8.340825468796268,0.7348040210796773,-2.615803697041367,0,Solar
2310,SF002394820,"CEDARA, SF",-29.533,30.283,1071.0,2023-03-08,0.0,22.8,31.9,16.2,-9.814578898604697,-0.01908390710419088,-1.6293255111095135,0,Solar
6746,SF003044460,"MTUNZINI, SF",-28.95,31.7,38.0,2022-10-09,0.0,23.4,28.8,16.2,-7.6146708867417825,1.1558864770668833,-3.4642214432236016,0,Solar
